/fields=id,latitude,longitude,date_time,cruise,aqua_filename,aqua_es_error,aqua_pixel_total,aqua_tdiff,aqua_solz,aqua_senz,aqua_cv,aqua_windspeed,aqua_rrs412,aqua_rrs443,aqua_rrs488,aqua_rrs531,aqua_rrs547,aqua_rrs555,aqua_rrs667,aqua_rrs678,insitu_rrs412,insitu_rrs443,insitu_rrs488,insitu_rrs531,insitu_rrs547,insitu_rrs555,insitu_rrs667,insitu_rrs678,insitu_data_source
/units=none,degrees,degrees,yyyy-mm-dd hh:mm:ss,none,none,unitless,unitless,seconds,degrees,degrees,unitless,m*s^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,unitless
/end_header
593439,20.82034000,-157.19894200,2015-01-17 23:35:27,moby257,A2015017234500.L2_LAC.R0000031841_20N_20N_157W_157W.hdf_OCVAL.nc_13884_593439_B5.tgz,0.00000000,25,838,44.90,6.52,0.019,1.643,0.01192400,0.00876100,0.00595800,0.00211900,0.00154700,0.00130600,0.00011200,0.00011800,0.01123240,0.00851409,0.00595509,0.00210966,0.00147754,0.00134517,0.00010792,0.00011455,moby
593457,20.81071000,-157.18449500,2015-01-20 23:35:27,moby257,A2015021002000.L2_LAC.R0000031841_20N_20N_157W_157W.hdf_OCVAL.nc_13884_593457_B5.tgz,0.00000000,25,2679,47.63,50.39,0.017,1.878,0.01236600,0.00926900,0.00618800,0.00217800,0.00156700,0.00134500,0.00009100,0.00009900,0.01256942,0.00938571,0.00621988,0.00225703,0.00157717,0.00143641,0.00011794,0.00012393,moby
593463,20.80822500,-157.18952300,2015-01-21 22:30:28,moby257,A2015021232500.L2_LAC.R0000031841_13884_593463.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,3273,42.06,49.49,0.015,2.623,0.01375400,0.00995800,0.00655800,0.00235600,0.00174000,0.00143200,0.00011100,0.00012400,0.01194233,0.00899761,0.00630348,0.00223386,0.00157128,0.00143717,0.00011891,0.00012461,moby
593475,20.80797000,-157.19182500,2015-01-22 23:35:28,moby257,A2015023000500.L2_LAC.R0000031841_20N_20N_157W_157W.hdf_OCVAL.nc_13884_593475_B5.tgz,0.00000000,25,1944,45.70,32.93,0.013,3.888,0.01275300,0.00964000,0.00652800,0.00244900,0.00185300,0.00156200,0.00014500,0.00015300,0.01213480,0.00922706,0.00624763,0.00230679,0.00161584,0.00147176,0.00012179,0.00012877,moby
593505,20.81637000,-157.20201700,2015-01-26 23:35:29,moby257,A2015026234000.L2_LAC.R0000031841_20N_20N_157W_157W.hdf_OCVAL.nc_13884_593505_B5.tgz,0.00000000,25,477,42.24,19.85,0.018,6.988,0.01032700,0.00786600,0.00560700,0.00201400,0.00148600,0.00124000,0.00014500,0.00016900,0.01060695,0.00806001,0.00580202,0.00209347,0.00147157,0.00134232,0.00011368,0.00012279,moby
593517,20.82523200,-157.18511300,2015-01-29 22:30:30,moby257,A2015030001000.L2_LAC.R0000031841_13884_593517.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,6214,44.75,42.66,0.011,6.778,0.01455000,0.01115200,0.00717000,0.00269600,0.00197600,0.00161500,0.00016600,0.00019200,0.01150241,0.00895863,0.00578969,0.00201544,0.00140713,0.00128100,0.00010048,0.00010289,moby
593535,20.80895000,-157.19218300,2015-02-07 23:35:31,moby257,A2015039000500.L2_LAC.R0000031841_20N_20N_157W_157W.hdf_OCVAL.nc_13884_593535_B5.tgz,0.00000000,25,1946,41.58,32.84,0.013,2.395,0.01053700,0.00816300,0.00546400,0.00174700,0.00123300,0.00106200,0.00006300,0.00009000,0.01147238,0.00902425,0.00596134,0.00212974,0.00148763,0.00135415,0.00011119,0.00011849,moby
593559,20.82669200,-157.18833700,2015-02-13 23:35:33,moby257,A2015044233000.L2_LAC.R0000031841_20N_20N_157W_157W.hdf_OCVAL.nc_13884_593559_B5.tgz,0.00000000,25,-258,36.04,41.52,0.014,9.877,0.01524200,0.01132300,0.00734000,0.00279000,0.00209500,0.00174700,0.00022900,0.00023800,0.01090232,0.00812457,0.00518256,0.00169243,0.00115175,0.00104179,0.00008054,0.00008531,moby
593571,20.81315500,-157.20030500,2015-02-15 23:35:33,moby257,A2015046231500.L2_LAC.R0000031841_20N_20N_157W_157W.hdf_OCVAL.nc_13884_593571_B5.tgz,0.00000000,25,-991,34.50,55.86,0.042,3.561,0.00894300,0.00692700,0.00496500,0.00170400,0.00121400,0.00103100,0.00001400,0.00001300,0.01038919,0.00803413,0.00552974,0.00205057,0.00144544,0.00131898,0.00011064,0.00011813,moby
593595,20.81071200,-157.19927700,2015-02-18 22:30:33,moby257,A2015049234500.L2_LAC.R0000031841_13884_593595.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,4740,36.22,6.78,0.009,1.292,0.01169000,0.00895300,0.00621500,0.00231200,0.00173700,0.00146200,0.00015900,0.00015100,0.01064076,0.00833501,0.00590736,0.00208510,0.00149025,0.00136133,0.00011577,0.00011885,moby
